YEAR,MONTH,PU_BOROUGH,AVG_TOTAL_AMOUNT,AVG_TIP_PCT,TRIPS
2016,12,Brooklyn,15.66,0.09,582372
2016,12,EWR,87.61,0.1,848
2016,12,Manhattan,14.52,0.1,9904313
2016,12,Queens,31.45,0.08,915401
2016,12,Staten Island,29.81,0.07,662
2017,1,Bronx,13.96,0.03,48160
2017,1,Brooklyn,15.22,0.09,519383
2017,1,EWR,85.42,0.1,702
2017,1,Manhattan,13.72,0.1,9189572
2017,1,Queens,32.59,0.08,843423
2017,1,Staten Island,26.8,0.09,606
2017,2,Bronx,14.01,0.03,47971
2017,2,Brooklyn,15.47,0.09,494382
2017,2,EWR,86.65,0.1,577
2017,2,Manhattan,13.98,0.1,8720696
2017,2,Queens,31.72,0.08,764026
2017,2,Staten Island,43.72,0.07,292
2017,3,Bronx,14.28,0.03,62158
2017,3,Brooklyn,15.42,0.09,563248
2017,3,EWR,83.64,0.11,716
2017,3,Manhattan,14.33,0.1,9697661
2017,3,Queens,32.97,0.08,933403
2017,3,Staten Island,31.11,0.06,602
2017,4,Bronx,14.84,0.03,50392
2017,4,Brooklyn,15.66,0.09,536223
2017,4,EWR,86.5,0.11,699
2017,4,Manhattan,14.37,0.1,9464233
2017,4,Queens,34.02,0.08,920860
2017,4,Staten Island,26.54,0.07,798
2017,5,Bronx,15.15,0.03,49154
2017,5,Brooklyn,16.11,0.09,520531
2017,5,EWR,87.62,0.11,840
2017,5,Manhattan,14.65,0.1,9466954
2017,5,Queens,34.82,0.09,965389
2017,5,Staten Island,37.02,0.07,417
2017,6,Bronx,15.58,0.04,47858
2017,6,Brooklyn,16.21,0.09,484468
2017,6,EWR,89.05,0.11,750
2017,6,Manhattan,14.59,0.1,9055339
2017,6,Queens,34.76,0.09,896075
2017,6,Staten Island,35.29,0.08,311
2017,7,Bronx,16.19,0.04,43513
2017,7,Brooklyn,16.04,0.09,430314
2017,7,EWR,80.26,0.1,752
2017,7,Manhattan,14.26,0.1,8057721
2017,7,Queens,34.06,0.08,846075
2017,7,Staten Island,31.53,0.05,331
2017,8,Bronx,16.35,0.03,42277
2017,8,Brooklyn,16.08,0.09,397623
2017,8,EWR,87.56,0.09,649
2017,8,Manhattan,14.22,0.1,7888785
2017,8,Queens,34.99,0.08,842806
2017,8,Staten Island,33.48,0.06,246
2017,9,Bronx,16.49,0.03,41639
2017,9,Brooklyn,16.41,0.09,424210
2017,9,EWR,86.89,0.1,715
2017,9,Manhattan,14.57,0.1,8385862
2017,9,Queens,35.44,0.08,847699
2017,9,Staten Island,39.19,0.08,259
2017,10,Bronx,16.63,0.03,44062
2017,10,Brooklyn,16.35,0.09,444448
2017,10,EWR,86.85,0.11,722
2017,10,Manhattan,14.63,0.1,9166174
2017,10,Queens,35.88,0.09,889999
2017,10,Staten Island,43.46,0.09,396
2017,11,Bronx,15.65,0.03,41074
2017,11,Brooklyn,16.07,0.09,404485
2017,11,EWR,88.06,0.11,696
2017,11,Manhattan,14.46,0.1,8713460
2017,11,Queens,35.26,0.09,832750
2017,11,Staten Island,33.21,0.05,312
2017,12,Bronx,15.7,0.02,45575
2017,12,Brooklyn,15.98,0.09,418191
2017,12,EWR,94.54,0.11,746
2017,12,Manhattan,14.35,0.1,8943740
2017,12,Queens,33.62,0.08,820196
2017,12,Staten Island,35.01,0.05,236
2018,1,Bronx,15.54,0.02,42801
2018,1,Brooklyn,15.77,0.09,363822
2018,1,EWR,88.51,0.1,579
2018,1,Manhattan,13.53,0.11,8221689
2018,1,Queens,34.55,0.09,758581
2018,1,Staten Island,34.67,0.05,235
2018,2,Bronx,15.86,0.02,42230
2018,2,Brooklyn,15.94,0.08,348480
2018,2,EWR,91.6,0.11,507
2018,2,Manhattan,13.65,0.11,8024613
2018,2,Queens,34.23,0.09,701834
2018,2,Staten Island,36.46,0.04,207
2018,3,Bronx,18.59,0.02,54335
2018,3,Brooklyn,16.82,0.08,394089
2018,3,EWR,89.13,0.11,669
2018,3,Manhattan,14.0,0.11,8840222
2018,3,Queens,35.3,0.09,805866
2018,3,Staten Island,41.43,0.05,251
2018,4,Bronx,20.46,0.02,54798
2018,4,Brooklyn,17.5,0.08,379538
2018,4,EWR,88.67,0.09,703
2018,4,Manhattan,14.21,0.11,8687717
2018,4,Queens,36.64,0.09,824500
2018,4,Staten Island,51.96,0.05,258
2018,5,Bronx,21.63,0.02,59066
2018,5,Brooklyn,18.18,0.08,375879
2018,5,EWR,89.9,0.12,754
2018,5,Manhattan,14.62,0.11,8600819
2018,5,Queens,36.93,0.09,847844
2018,5,Staten Island,50.19,0.04,273
2018,6,Bronx,21.89,0.02,56344
2018,6,Brooklyn,18.24,0.08,352897
2018,6,EWR,95.17,0.11,680
2018,6,Manhattan,14.49,0.11,8111596
2018,6,Queens,36.8,0.09,796654
2018,6,Staten Island,49.52,0.05,268
2018,7,Bronx,21.98,0.02,49333
2018,7,Brooklyn,18.27,0.08,311978
2018,7,EWR,93.22,0.11,626
2018,7,Manhattan,14.37,0.1,7305470
2018,7,Queens,36.29,0.08,742350
2018,7,Staten Island,53.03,0.03,314
2018,8,Bronx,23.08,0.02,55127
2018,8,Brooklyn,19.0,0.07,305007
2018,8,EWR,93.95,0.11,569
2018,8,Manhattan,14.26,0.1,7295044
2018,8,Queens,37.45,0.08,758097
2018,8,Staten Island,55.81,0.02,425
2018,9,Bronx,24.44,0.02,56873
2018,9,Brooklyn,19.43,0.07,327794
2018,9,EWR,91.04,0.11,677
2018,9,Manhattan,14.64,0.11,7485854
2018,9,Queens,37.39,0.09,740396
2018,9,Staten Island,56.16,0.03,535
2018,10,Bronx,25.35,0.02,67150
2018,10,Brooklyn,20.27,0.07,360401
2018,10,EWR,94.43,0.12,798
2018,10,Manhattan,14.76,0.11,8194555
2018,10,Queens,37.86,0.09,783395
2018,10,Staten Island,53.07,0.03,624
2018,11,Bronx,25.49,0.02,63936
2018,11,Brooklyn,20.25,0.07,317673
2018,11,EWR,94.07,0.11,683
2018,11,Manhattan,14.66,0.11,7559967
2018,11,Queens,37.29,0.09,724378
2018,11,Staten Island,55.04,0.03,621
2018,12,Bronx,26.79,0.01,72113
2018,12,Brooklyn,20.61,0.07,340294
2018,12,EWR,93.5,0.1,664
2018,12,Manhattan,14.56,0.11,7614888
2018,12,Queens,35.91,0.08,710507
2018,12,Staten Island,52.27,0.03,752
2019,1,Bronx,26.63,0.01,73340
2019,1,Brooklyn,20.91,0.06,305049
2019,1,EWR,92.93,0.12,450
2019,1,Manhattan,13.67,0.11,7150179
2019,1,Queens,36.59,0.09,659582
2019,1,Staten Island,57.64,0.02,687
2019,2,Bronx,27.09,0.01,72200
2019,2,Brooklyn,21.77,0.06,285937
2019,2,EWR,90.62,0.12,496
2019,2,Manhattan,16.52,0.11,6601282
2019,2,Queens,39.31,0.09,609218
2019,2,Staten Island,55.58,0.02,761
2019,3,Bronx,26.4,0.01,76367
2019,3,Brooklyn,21.53,0.06,306603
2019,3,EWR,96.04,0.11,637
2019,3,Manhattan,17.08,0.11,7329183
2019,3,Queens,39.19,0.09,715050
2019,3,Staten Island,59.45,0.02,635
2019,4,Bronx,27.46,0.01,60478
2019,4,Brooklyn,21.56,0.07,268816
2019,4,EWR,94.0,0.11,650
2019,4,Manhattan,17.1,0.11,6948771
2019,4,Queens,40.26,0.08,673379
2019,4,Staten Island,56.37,0.03,569
2019,5,Bronx,26.98,0.01,53996
2019,5,Brooklyn,21.59,0.07,252260
2019,5,EWR,97.62,0.11,721
2019,5,Manhattan,17.35,0.11,7050749
2019,5,Queens,40.0,0.08,700611
2019,5,Staten Island,61.01,0.03,640
2019,6,Bronx,25.25,0.01,49255
2019,6,Brooklyn,21.04,0.07,234277
2019,6,EWR,96.32,0.11,792
2019,6,Manhattan,17.47,0.11,6448321
2019,6,Queens,39.67,0.08,666122
2019,6,Staten Island,59.95,0.03,584
2019,7,Bronx,25.43,0.01,46985
2019,7,Brooklyn,21.06,0.06,209120
2019,7,EWR,102.76,0.1,708
2019,7,Manhattan,17.15,0.11,5831703
2019,7,Queens,39.48,0.08,624264
2019,7,Staten Island,63.04,0.03,592
2019,8,Bronx,25.46,0.01,45860
2019,8,Brooklyn,21.31,0.06,193541
2019,8,EWR,96.54,0.11,770
2019,8,Manhattan,17.09,0.1,5584941
2019,8,Queens,40.13,0.08,626287
2019,8,Staten Island,66.61,0.02,516
2019,9,Bronx,26.05,0.01,44399
2019,9,Brooklyn,21.52,0.07,205136
2019,9,EWR,96.76,0.11,797
2019,9,Manhattan,17.53,0.11,6076841
2019,9,Queens,40.9,0.08,616074
2019,9,Staten Island,66.14,0.02,456
2019,10,Bronx,27.37,0.01,47766
2019,10,Brooklyn,22.11,0.07,215131
2019,10,EWR,99.61,0.11,878
2019,10,Manhattan,17.52,0.11,6707185
2019,10,Queens,40.49,0.08,642689
2019,10,Staten Island,63.37,0.02,544
2019,11,Bronx,26.87,0.01,40134
2019,11,Brooklyn,21.58,0.07,193229
2019,11,EWR,95.37,0.11,851
2019,11,Manhattan,17.3,0.11,6419940
2019,11,Queens,39.82,0.08,577413
2019,11,Staten Island,58.91,0.01,508
2019,12,Bronx,27.67,0.01,44934
2019,12,Brooklyn,22.02,0.07,200564
2019,12,EWR,99.96,0.11,941
2019,12,Manhattan,17.46,0.11,6411735
2019,12,Queens,39.75,0.08,605494
2019,12,Staten Island,63.41,0.02,431
2020,1,Bronx,26.77,0.01,42552
2020,1,Brooklyn,21.31,0.07,182576
2020,1,EWR,99.3,0.11,752
2020,1,Manhattan,16.53,0.11,5974714
2020,1,Queens,39.06,0.08,540046
2020,1,Staten Island,61.44,0.01,511
2020,2,Bronx,27.37,0.01,40131
2020,2,Brooklyn,21.61,0.07,179154
2020,2,EWR,94.95,0.1,622
2020,2,Manhattan,16.72,0.11,5928769
2020,2,Queens,38.82,0.08,486021
2020,2,Staten Island,64.64,0.02,380
2020,3,Bronx,21.81,0.01,28498
2020,3,Brooklyn,19.72,0.06,99736
2020,3,EWR,91.98,0.11,343
2020,3,Manhattan,16.81,0.11,2829741
2020,3,Queens,39.56,0.07,239643
2020,3,Staten Island,68.63,0.02,319
2020,4,Bronx,25.22,0.06,10659
2020,4,Brooklyn,24.18,0.08,15192
2020,4,EWR,56.36,0.02,11
2020,4,Manhattan,15.1,0.09,226378
2020,4,Queens,28.69,0.07,15371
2020,4,Staten Island,76.2,0.03,146
2020,5,Bronx,26.7,0.05,21661
2020,5,Brooklyn,26.34,0.05,33114
2020,5,EWR,81.44,0.19,13
2020,5,Manhattan,17.72,0.09,313555
2020,5,Queens,30.42,0.06,28913
2020,5,Staten Island,73.64,0.02,491
2020,6,Bronx,31.71,0.06,19326
2020,6,Brooklyn,30.48,0.07,34425
2020,6,EWR,66.39,0.1,24
2020,6,Manhattan,16.35,0.1,502686
2020,6,Queens,36.54,0.07,43361
2020,6,Staten Island,77.18,0.01,796
2020,7,Bronx,34.02,0.06,23662
2020,7,Brooklyn,33.39,0.07,41996
2020,7,EWR,79.07,0.07,38
2020,7,Manhattan,16.33,0.1,731188
2020,7,Queens,37.34,0.07,57849
2020,7,Staten Island,79.61,0.04,335
2020,8,Bronx,33.87,0.06,26609
2020,8,Brooklyn,31.79,0.07,50566
2020,8,EWR,65.3,0.1,66
2020,8,Manhattan,16.35,0.1,917036
2020,8,Queens,37.73,0.07,74012
2020,8,Staten Island,79.44,0.03,366
2020,9,Bronx,30.69,0.08,27248
2020,9,Brooklyn,28.31,0.09,52772
2020,9,EWR,81.56,0.11,45
2020,9,Manhattan,15.99,0.11,1235241
2020,9,Queens,36.47,0.08,76826
2020,9,Staten Island,80.18,0.03,380
2020,10,Bronx,30.69,0.08,28781
2020,10,Brooklyn,28.29,0.09,56820
2020,10,EWR,73.26,0.11,61
2020,10,Manhattan,16.63,0.11,1557016
2020,10,Queens,36.09,0.08,87499
2020,10,Staten Island,79.01,0.04,488
2020,11,Bronx,31.22,0.09,25569
2020,11,Brooklyn,28.63,0.1,53482
2020,11,EWR,74.82,0.11,76
2020,11,Manhattan,15.97,0.11,1399129
2020,11,Queens,35.84,0.08,80452
2020,11,Staten Island,75.35,0.04,442
2020,12,Bronx,31.11,0.09,26111
2020,12,Brooklyn,28.6,0.1,50738
2020,12,EWR,77.91,0.07,72
2020,12,Manhattan,16.05,0.11,1359528
2020,12,Queens,36.09,0.08,79852
2020,12,Staten Island,78.87,0.04,584
2021,1,Bronx,31.23,0.05,25623
2021,1,Brooklyn,28.86,0.07,49185
2021,1,EWR,68.68,0.1,54
2021,1,Manhattan,15.43,0.11,1255353
2021,1,Queens,39.28,0.08,88896
2021,1,Staten Island,81.6,0.03,516
2021,2,Bronx,31.38,0.01,22021
2021,2,Brooklyn,29.4,0.03,43111
2021,2,EWR,83.88,0.12,35
2021,2,Manhattan,15.85,0.11,1268489
2021,2,Queens,38.42,0.07,72123
2021,2,Staten Island,82.58,0.02,445
2021,3,Bronx,31.08,0.01,29775
2021,3,Brooklyn,29.56,0.03,57783
2021,3,EWR,99.17,0.09,63
2021,3,Manhattan,16.12,0.12,1778514
2021,3,Queens,39.72,0.07,105489
2021,3,Staten Island,79.71,0.03,517
2021,4,Bronx,31.1,0.01,30578
2021,4,Brooklyn,30.11,0.03,59506
2021,4,EWR,97.85,0.08,84
2021,4,Manhattan,16.47,0.12,1996026
2021,4,Queens,42.57,0.08,134567
2021,4,Staten Island,79.72,0.03,506
2021,5,Bronx,31.73,0.01,26075
2021,5,Brooklyn,29.73,0.04,56548
